ID,Source,Author(s),Year,Title,Spatial questions
137,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are directional trends in animal migration or grazing based on animal-tracking data?
138,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the single family zoning categories in Utrecht?
139,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the rate of water removal with water wells from an aquifer in Amsterdam?
140,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the total linear mileage of the asphalt streets in Utrecht?
141,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the monthly rate of arsons given all fire department responses in Groningen?
142,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"What is the relationship between the average monthly sales of the Hispanic specialty stores and the distribution of the Hispanic population in Tarrant County, Texas?"
143,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the relationship between the locations of stores and the population income levels in Amsterdam?
144,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What intersections are more prone to auto accidents in Utrecht?
145,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"What is the population distribution in Tarrant County, Texas?"
146,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"What is the population distribution by age in Tarrant County, Texas?"
147,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the construction trend in the city of Oleander given construction years of dwelling units?
148,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the concentration of various ethnic groups in Amsterdam?
149,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which parks do have the highest monthly concentration of birds in Texas?
150,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How does tractor traffic compare to auto traffic on Texas roads?
151,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"What is the portion of rental, owner-occupied, and vacant houses relative to the Hispanic population in Tarrant County, Texas?"
152,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the crime rates for this and last years in each police district of Texas?
153,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the election results for individual candidates in each precinct of Dallas?
154,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"What are the portions of energy coming from oil, natural gas, and nuclear power in each state of the United States?"
155,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is population density by census block in the Dallas/Fort Worth metropolitan service area?
156,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the density of robberies for each police beat in Dallas/Fort Worth metropolitan service area?
157,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the areas with high population density and concentration of rental units in Utrecht?
158,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the dot density of rental units in Utrecht?
159,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the dot density of registered voters relative to the total population of voting age per precinct in Dallas?
160,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the density of trees in parks in Oleander?
161,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the density of elms and crape myrtles in Oleander?
162,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the density surface of rainfall based on measuring stations?
163,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the concentration of fire incident calls in Oleander?
164,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the directional trends for each year's tornadoes in Oleander?
165,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What areas do have too few roads to handle the traffic in Oleander?
166,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where are fire calls highly clustered in Fort Worth?
167,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the relationship between clusters of West Nile Virus and the locations of food and water sources?
168,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where are the customers highly clustered for a pizza chain in Amsterdam?
169,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Are fire calls randomly distributed among city blocks in Fort Worth?
170,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the relationship between clusters of fire calls and population density?
171,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where are the high output oil-well clustered?
172,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where are the clusterings of low-income household in Netherlands?
173,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where are the hot or cold spots of crime frequency in Amsterdam?
174,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is acreage for each land-use type in a region of Oleander?
175,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which properties may be affected by the Independence Day parade in Washington D.C.?
176,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What pipes do need to be inspected given clogged storm drain inlets?
177,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How many land parcels are in the floodplain in Oleander?
178,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What the total area of land is inside the floodplain in Oleander?
179,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is a breakdown of the area of land use inside the floodplain in Oleander?
180,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How many poll workers do each precinct need given the number of households that fall within each precinct?
181,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the attendance boundaries for the schools in Oleander?
182,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What properties may be affected by cleaning works at the creeks in Oleander?
183,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which property owners do need to be notified around the area of proposed zoning change?
184,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the percentage of each land-use type inside the notification zone for zoning change?
185,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"What are the zones of strict drug enforcement around schools, playgrounds, and arcades?"
186,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is a quite zone around a hospital that should be enforced by police?
187,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What property owners do own access easement to the lakeshore?
188,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How much of the city is affected by street noise given the noise coefficients for each street in the city?
189,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the relationship between the speed limit and the noise coefficients for each street in the city?
190,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How lit are the areas of the city given locations of street lights and their wattage?
191,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"Where are the houses within 1 minute, 2 minutes, and 3 minutes driving time from each fire station assuming a fire truck averages about 30 mph?"
192,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the noise mitigation zones around each runway in Schiphol airport?
193,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"Within the last month, how many calls were answered by a crew from a station that was not the closest to the scene?"
194,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How does the nearness of a property to fire hydrants affects its insurance rate?
195,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What areas are not within the 3 minutes of driving time for a fire truck given a road network in Oleander?
196,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"How many buildings are within 1 minute, 2 minutes, and 3 minutes of driving time from a fire station given a road network in Oleander?"
197,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the spread of plumes over time from a fire in a match factory?
198,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What buildings may be situated within the area of plumes from a fire in a match factory?
199,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How does the flood level change over time?
200,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How did the population change over time?
201,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How did a river delta spread over time?
202,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How did areas of soil erosion change over time?
203,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,"How did tornado's location, strength and wind speed change over time?"
204,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which buildings were affected by the changing tornado?
205,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are traffic patterns at intersections based on readings of traffic-counting devices placed along a street?
206,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How did the population of an animal herd change as the animals moved?
207,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the areas with single-family residential properties that have decreased in value more than 3% since 2004?
208,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,In what areas did the literacy rate show a decreasing trend?
209,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,How did the water levels in a lake change each month?
210,"Preventive medicine 50, S74-S79",<MASKED>,2010,Neighborhood SES and walkability are related to physical activity behavior in Belgian adults.,What is the utility-based walkability of each neighborhood in Ghent?
211,"Preventive medicine 50, S74-S79",<MASKED>,2010,Neighborhood SES and walkability are related to physical activity behavior in Belgian adults.,What is the residential density per neighborhood in Ghent?
212,"Preventive medicine 50, S74-S79",<MASKED>,2010,Neighborhood SES and walkability are related to physical activity behavior in Belgian adults.,What is the connectivity of each neighborhood in Ghent?
213,"Preventive medicine 50, S74-S79",<MASKED>,2010,Neighborhood SES and walkability are related to physical activity behavior in Belgian adults.,What is the land-use mix in each neighborhood in Ghent?
214,"Environment and Planning B: Planning and Design 40, no. 5, 865-883",<MASKED>,2013,Mapping bikeability: a spatial tool to support sustainable travel,What is the bikeability in the Metro Vancouver region of Canada?
215,"Environment and Planning B: Planning and Design 40, no. 5, 865-883",<MASKED>,2013,Mapping bikeability: a spatial tool to support sustainable travel,What is the bicycle route density in the Metro Vancouver region of Canada?
216,"Environment and Planning B: Planning and Design 40, no. 5, 865-883",<MASKED>,2013,Mapping bikeability: a spatial tool to support sustainable travel,What is the degree of bicycle route separation the Metro Vancouver region of Canada?
217,"Environment and Planning B: Planning and Design 40, no. 5, 865-883",<MASKED>,2013,Mapping bikeability: a spatial tool to support sustainable travel,What is the connectivity of bicycle-friendly streets in the Metro Vancouver region of Canada?
218,"Environment and Planning B: Planning and Design 40, no. 5, 865-883",<MASKED>,2013,Mapping bikeability: a spatial tool to support sustainable travel,What is the topography of bicycle-friendly streets the Metro Vancouver region of Canada?
219,"Environment and Planning B: Planning and Design 40, no. 5, 865-883",<MASKED>,2013,Mapping bikeability: a spatial tool to support sustainable travel,What is the destination density for cyclists in the Metro Vancouver region of Canada?
220,"Ecological Modelling 390, pp. 51-61",<MASKED>,2018,Scale dependence and parameter sensitivity of the EPIC model in the agro-pastoral transitional zone of north China,What is the effect of different scales on the accuracy of the GIS-based EPIC model?
221,"Ecological Modelling 390, pp. 51-62",<MASKED>,2018,Scale dependence and parameter sensitivity of the EPIC model in the agro-pastoral transitional zone of north China,How can future crop yields be predicted?
